qid,category,question
q0001,Pancreas,Is there pancreatic atrophy?
q0002,Pancreas,Is chronic pancreatitis suspected based on imaging findings?
q0003,Pancreas,Is there acute pancreatitis?
q0004,Pancreas,Is there necrotizing pancreatitis?
q0005,Pancreas,Is there autoimmune pancreatitis?
q0006,Pancreas,Is there groove pancreatitis?
q0007,Pancreas,Is there any pancreatic pseudocysts?
q0008,Pancreas,Are there any pancreatic tumors?
q0009,Pancreas,Are there any intraductal papillary mucinous neoplasms (IPMN)?
q0010,Pancreas,Are there any intraductal papillary mucinous neoplasms with worrisome features?
q0011,Pancreas,Are there any serous cystic neoplasms?
q0012,Pancreas,Are there any mucinous cystic neoplasms?
q0013,Pancreas,Are there any solid pseudopapillary tumors?
q0014,Pancreas,Are there any ductal pancreatic carcinomas?
q0015,Pancreas,Are there any neuroendocrine tumors?
q0016,Pancreas,Is there main pancreatic duct dilatation?
q0017,Pancreas,Is there an annular pancreas?
q0018,Pancreas,Is cystic fibrosis suspected based on the pancreatic imaging findings?
q0019,Spleen,Is there splenomegaly?
q0020,Spleen,Are there any epithelial cysts?
q0021,Spleen,Are there any splenic pseudocysts?
q0022,Spleen,Are there any splenic hamartomas?
q0023,Spleen,Is splenic lymphoma present?
q0024,Spleen,Are there any splenic abscesses?
q0025,Spleen,Are there any splenic lacerations?
q0026,Spleen,Are there any splenic infarcts?
q0027,Spleen,Is the spleen surgically absent? Are there any post-splenectomy changes?
q0028,Spleen,Are there any accessory spleens?
q0029,Biliary Tree,Is there any intrahepatic biliary ductal dilation?
q0030,Biliary Tree,is there any extrahepatic biliary ductal dilation?
q0031,Biliary Tree,Are there any intra-hepatic stones?
q0032,Biliary Tree,Is there ascending cholangitis?
q0033,Biliary Tree,Is there primary sclerosing cholangitis?
q0034,Biliary Tree,Is there periductal/intraductal cholangiocarcinoma?
q0035,Biliary Tree,Are there any biliary cystadenomas?
q0036,Biliary Tree,Are there any biliary hamartomas?
q0037,Liver,Is there hepatomegaly?
q0038,Liver,"Is hepatic steatosis, fatty liver, focal fatty infiltration suspected based on the imaging findings?"
q0039,Liver,Is there cirrhosis?
q0040,Liver,Is there cirrhosis with portal hypertension?
q0041,Liver,Is there cirrhosis with decompensation?
q0042,Liver,Are there any esophageal or gastric varices?
q0043,Liver,Are there any hepatic regenerative nodules?
q0044,Liver,Are there any dysplastic nodules?
q0045,Liver,Is polycystic liver disease present?
q0046,Liver,Is there viral hepatitis?
q0047,Liver,Are there any hepatic abscesses?
q0048,Liver,Is there hemochromatosis?
q0049,Liver,Are there any hepatic cysts?
q0050,Liver,Are there any hepatic hemangiomas?
q0051,Liver,Are there any hepatic focal nodular hyperplasias?
q0052,Liver,Are there any hepatic adenomas?
q0053,Liver,Are there any hepatic masses?
q0054,Liver,Is there hepatocellular carcinoma?
q0055,Liver,Is there hepatoblastoma?
q0056,Liver,Is there cholangiocarcinoma?
q0057,Liver,Are there any hepatic metastases?
q0058,Liver,Is there hepatic lymphoma?
q0059,Liver,Is there angiosarcoma?
q0060,Liver,Is there epithelioid hemangioendothelioma?
q0061,Liver,Is there fibrolamellar carcinoma?
q0062,Liver,Are there any liver lacerations?
